"COUNTRY","Country","AGE","Age","INTENSITY","Intensity","SEX","Gender","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator name","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",23.554,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",23.108,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",21.811,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",20.897,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",16.46,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",16.291,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",15.511,,
"AUS","Australia","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",15.394,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",20.023,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",20.078,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",19.754,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",19.647,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",11.342,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",11.331,,
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",11.274,,
