"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2016",7.8941245079,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2017",7.967227459,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",4.2217569351,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",4.136926651,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2016",6.2594294548,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2017",6.3207464218,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2018",6.22803545,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2019",6.5781350136,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.4851708412,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.6154704094,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.4683926105,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.4632499218,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2016",5.6347870827,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2017",5.3715815544,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2018",5.0617184639,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2019",4.8735108376,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.3013048172,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.4646065235,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.1867344379,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.0313613415,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2016",6.4028944969,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2017",6.2383890152,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2018",6.3751506805,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2019",6.0263767242,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2020",5.8372683525,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.6145534515,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.5908505917,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.7080476284,
