"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",35.555072784,
"AUT","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",18.447868347,
"BEL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",29.934019089,
"CAN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",37.150047302,
"CZE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",19.328004837,
"DNK","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",39.071475983,
"FIN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",34.25030899,
"FRA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",28.876070023,
"DEU","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",18.927801132,
"GRC","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",9.2915735245,
"HUN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",14.521000862,
"IRL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",27.047512054,
"ITA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",11.561255455,
"JPN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",14.745013237,
"KOR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",22.114751816,
"LUX","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",37.21522522,
"MEX","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",3.8880259991,
"NLD","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",44.641361237,
"NZL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",33.172073364,
"NOR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",51.384098053,
"POL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",14.153203011,
"PRT","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",23.478618622,
"SVK","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",22.988790512,
"ESP","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",30.341213226,
"SWE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",46.158748627,
"CHE","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",28.010766983,
"TUR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",10.942590714,
"GBR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",25.915616989,
"USA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",31.642585754,
"BRA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",2.8975260258,
"CHL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",8.7216329575,
"CHN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",10.771617889,
"COL","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",4.9308757782,
"CRI","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",6.9042129517,
"EST","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",25.637659073,
"IND","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",3.2453398705,
"IDN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",5.6293087006,
"ISR","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",35.74363327,
"LVA","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",6.4295282364,
"LTU","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",12.19665432,
"RUS","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",13.616278648,
"SVN","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",17.185993195,
"ZAF","STARTBSNS","MONEY_WOMEN","PC_TOTEMP","A","2017",5.0980882645,
"AUS","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",40.969581604,
"AUT","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",21.004714966,
"BEL","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",35.583164215,
"CAN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",34.455131531,
"CZE","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",19.930822372,
"DNK","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",43.089084625,
"FIN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",36.767295837,
"FRA","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",30.191230774,
"DEU","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",23.417051315,
"GRC","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",10.821204185,
"HUN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",14.323080063,
"IRL","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",28.221559525,
"ITA","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",22.223590851,
"JPN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",19.951652527,
