"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,6.8,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,8.9,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,6.6,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,5,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,5.2,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","2015","2015","PC","Percentage","0","Units",,,6.2,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,7.2,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,8.2,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,6.1,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,5.3,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1564","15-64","2015","2015","PC","Percentage","0","Units",,,6.2,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,3.2,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,3.3,,
