"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.3197288513,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.1948571205,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.9564938545,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.0268936157,
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.7096796036,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",2.7124147415,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",8.8911857605,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",8.463218689,"B"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",8.6586809158,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",8.8742465973,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.6640615463,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.6981921196,"B"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.8861236572,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",7.0554537773,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.8832011223,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",7.0848708153,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.7209625244,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.5164527893,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",10.550868034,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",11.101831436,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",11.827638626,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",12.071025848,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.1996994019,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.4841032028,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.2745113373,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",6.4395275116,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",3.8016815186,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.0777130127,"B"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.4211368561,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.4135909081,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.6781358719,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",6.3798995018,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",6.137283802,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.2598323822,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.2576365471,"N"
